ident,aantal fout,geslacht,studietijd,leeftijd,geslaagd,foutherk,stattitudescore,statattitudetekst
37,"2,00",man,"38,00","20,00",ja,,"4,00",makkel/moeil
38,"2,00",man,"38,00","20,00",ja,,"5,00",beetje moeilijk
39,"2,00",man,"37,00","20,00",ja,,"6,00",moeilijk
41,"2,00",man,"35,00","20,00",ja,,"7,00",erg moeilijk
81,"3,00",man,"36,00","19,00",nee,"8,00","5,00",beetje moeilijk
84,"3,00",man,"39,00","19,00",nee,"8,00","3,00",beetje makkelijk
93,"4,00",man,"37,00","18,00",nee,"5,00","5,00",beetje moeilijk
97,"5,00",man,"33,00","18,00",nee,"6,00","2,00",makkelijk
98,"5,00",man,"33,00","18,00",nee,"5,00","3,00",beetje makkelijk
111,"1,00",man,"40,00","20,00",ja,,"6,00",moeilijk
136,"2,00",man,"38,00","24,00",ja,,"4,00",makkel/moeil
141,,man,"35,00","24,00",nee,,"5,00",beetje moeilijk
181,"3,00",man,"36,00","26,00",nee,"2,00","4,00",makkel/moeil
193,"4,00",man,"37,00","26,00",nee,"4,00","4,00",makkel/moeil
197,"5,00",man,"33,00","27,00",nee,"5,00","4,00",makkel/moeil
212,"1,00",man,"38,00","27,00",ja,,"7,00",erg moeilijk
240,"2,00",man,"37,00","29,00",ja,,"6,00",moeilijk
281,"3,00",man,"36,00","31,00",nee,"1,00","5,00",beetje moeilijk
295,"4,00",man,"34,00","32,00",nee,"3,00","5,00",beetje moeilijk
336,"2,00",man,"38,00","34,00",ja,,"7,00",erg moeilijk
341,"2,00",man,"35,00","34,00",ja,,"5,00",beetje moeilijk
380,"3,00",man,"35,00","38,00",nee,"2,00","6,00",moeilijk
382,"3,00",man,"37,00","38,00",nee,"3,00","7,00",erg moeilijk
385,"3,00",man,"35,00","36,00",nee,"1,00","3,00",beetje makkelijk
398,"5,00",man,"33,00","37,00",nee,"5,00","4,00",makkel/moeil
5,"0,00",vrouw,"40,00","18,00",ja,,"6,00",moeilijk
25,"1,00",vrouw,"37,00","23,00",ja,,"7,00",erg moeilijk
26,"1,00",vrouw,"41,00","23,00",ja,,"6,00",moeilijk
29,"1,00",vrouw,"38,00","23,00",ja,,"7,00",erg moeilijk
32,"1,00",vrouw,"38,00","23,00",ja,,"6,00",moeilijk
35,"1,00",vrouw,"38,00","23,00",ja,,"7,00",erg moeilijk
44,"2,00",vrouw,"37,00","22,00",ja,,"6,00",moeilijk
47,"2,00",vrouw,"40,00","22,00",ja,,"7,00",erg moeilijk
50,"2,00",vrouw,"40,00","22,00",ja,,"5,00",beetje moeilijk
56,"2,00",vrouw,"39,00","22,00",ja,,"6,00",moeilijk
63,"2,00",vrouw,"38,00","22,00",ja,,"6,00",moeilijk
